,comapny_name,company_rating,company_type,head_quarters,No_of_Employee
84,Max Life Insurance,4.2,Insurance,Gurgaon/Gurugram,10k-50k Employees
85,Aurobindo Pharma,4.0,Pharma,Hyderabad/Secunderabad,10k-50k Employees
86,Tata Projects,4.2,Engineering & Construction,Mumbai,5k-10k Employees
87,Home Credit Finance,4.1,Financial Services,Gurugram,10k-50k Employees
88,KPMG India,3.6,Management Consulting,Bangalore / Bengaluru,10k-50k Employees
89,Shapoorji Pallonji Group,4.2,Engineering & Construction,Mumbai,5k-10k Employees
90,Oracle,3.9,Software Product,Austin,50k-1 Lakh Employees
91,OPPO,3.9,Consumer Electronics & Appliances,Dongguan,10k-50k Employees
92,L&T Construction,4.0,Engineering & Construction,Chennai,5k-10k Employees
93,eClerx,3.4,IT Services & Consulting,Mumbai,10k-50k Employees
94,Capgemini Technology Services India Limited,4.0,IT Services & Consulting,Bangalore / Bengaluru,1 Lakh+ Employees
95,Apollo Hospitals,4.1,Healthcare,Chennai,10k-50k Employees
96,Ashok Leyland,4.1,Automobile,Chennai,5k-10k Employees
97,JLL,4.2,Real Estate,Mumbai,10k-50k Employees
98,Siemens,4.2,Industrial Automation,Munich,5k-10k Employees
99,Vivo,4.1,Consumer Electronics & Appliances,Gurgaon/Gurugram,5k-10k Employees
100,Omega Healthcare,3.8,Healthcare,Bangalore / Bengaluru,10k-50k Employees
101,Megha Engineering & Infrastructures,4.0,Engineering & Construction,Ahmedabad,5k-10k Employees
102,JustDial,3.6,Internet,Ahmedabad,10k-50k Employees
103,First Source,3.8,BPO,Ahmedabad,10k-50k Employees
104,Hero MotoCorp,4.2,Automobile,Ahmedabad,5k-10k Employees
105,Bajaj Allianz Life Insurance,4.1,Insurance,Ahmedabad,10k-50k Employees
106,Mahindra & Mahindra Financial Services,4.3,NBFC,Ahmedabad,10k-50k Employees
107,D Mart,3.9,Retail,Ahmedabad,10k-50k Employees
108,Cyient,3.8,IT Services & Consulting,Ahmedabad,10k-50k Employees
109,ICICI Lombard General Insurance Company,3.8,Insurance,Ahmedabad,10k-50k Employees
110,Coforge,3.5,IT Services & Consulting,Ahmedabad,10k-50k Employees
111,BigBasket,4.0,Internet,Ahmedabad,10k-50k Employees
112,Indiamart Intermesh,3.6,Internet,Ahmedabad,5k-10k Employees
113,Virtusa Consulting Services,3.8,IT Services & Consulting,Ahmedabad,10k-50k Employees
114,Equitas Small Finance Bank,4.4,Banking,Ahmedabad,10k-50k Employees
115,TVS Motor,4.0,Automobile,Ahmedabad,5k-10k Employees
116,Manappuram Finance,3.9,NBFC,Ahmedabad,10k-50k Employees
117,GlobalLogic,3.7,IT Services & Consulting,Ahmedabad,10k-50k Employees
118,UST,3.8,IT Services & Consulting,Ahmedabad,10k-50k Employees
119,Hewlett-Packard Enterprise,4.3,IT Services & Consulting,Ahmedabad,10k-50k Employees
120,Nagarro,4.1,IT Services & Consulting,Munich,10k-50k Employees
121,Cummins,4.3,Industrial Machinery,Columbus,1k-5k Employees
122,Atos Syntel,3.6,IT Services & Consulting,Troy,5k-10k Employees
123,SBI Cards & Payment Services,3.7,Financial Services,Gurgaon/Gurugram,1k-5k Employees
124,IQVIA,4.0,Clinical Research,Durham,10k-50k Employees
125,Bosch Global Software Technologies,4.1,IT Services & Consulting,Gerlingen,10k-50k Employees
126,Reliance Communications,3.9,Telecom,Navi Mumbai,201-500 Employees
127,Bosch,4.3,Auto Components,Gerlingen,5k-10k Employees
128,Cholamandalam Investment & Finance,4.0,NBFC,Chennai,10k-50k Employees
129,SMFG India Credit,4.1,NBFC,Mumbai,10k-50k Employees
130,Ekart Logistics,4.1,Logistics,San Francisco,1k-5k Employees
131,BNY Mellon,4.1,Investment Banking / Venture Capital / Private Equity,New York City,10k-50k Employees
132,Schneider Electric,4.1,Industrial Automation,Paris,10k-50k Employees
133,Hyundai Motor,4.4,Automobile,Seoul,10k-50k Employees
134,Oyo Rooms,3.4,Hospitality,Gurgaon,1k-5k Employees
135,L&T Technology Services,3.4,IT Services & Consulting,Vadodara/Baroda,10k-50k Employees
136,Amdocs,4.0,Software Product,Chesterfield,10k-50k Employees
137,CBRE,4.2,Real Estate,Los Angeles,10k-50k Employees
138,BT Group,4.1,Telecom,London,10k-50k Employees
139,State Bank of India,3.7,Banking,Mumbai,1 Lakh+ Employees
140,JBM Group,4.0,Auto Components,Gurgaon/Gurugram,1k-5k Employees
141,Swiggy,3.9,Internet,Bangalore,5k-10k Employees
142,Ecom Express,4.1,Logistics,Gurgaon,10k-50k Employees
143,Dell,4.2,Consumer Electronics & Appliances,Round Rock,10k-50k Employees
144,SBI Life Insurance Company,3.8,Insurance,Mumbai,10k-50k Employees
145,Bajaj Auto,3.8,Automobile,Pune,5k-10k Employees
146,Optum,4.0,Healthcare,Prairie,10k-50k Employees
147,Future Group,4.3,Retail,Mumbai,10k-50k Employees
148,Nagarjuna Construction Company,4.1,Engineering & Construction,Hyderabad/Secunderabad,5k-10k Employees
149,KEC International,4.1,Engineering & Construction,Mumbai,5k-10k Employees
150,Piramal Capital Housing Finance,4.2,NBFC,Mumbai,1k-5k Employees
151,Aditya Birla Fashion and Retail,4.2,Fashion & Textile,Mumbai,10k-50k Employees
152,Muthoot Fincorp,4.0,NBFC,Trivandrum/Thiruvananthapuram,10k-50k Employees
153,Royal Enfield,4.2,Automobile,Gurgaon/Gurugram,5k-10k Employees
154,Viatris,4.2,Pharma,Canonsburg,10k-50k Employees
155,L&T Finance,4.0,NBFC,Mumbai,10k-50k Employees
156,Tata Communications,4.1,Telecom,Mumbai,5k-10k Employees
157,Samvardhana Motherson Group,3.8,Auto Components,Noida,1k-5k Employees
158,Kogta Financial India Limited,4.8,NBFC,Jaipur,1k-5k Employees
159,LG Electronics,4.0,Consumer Electronics & Appliances,Seoul,1k-5k Employees
160,Intas Pharmaceuticals,4.1,Pharma,Ahmedabad,10k-50k Employees
161,John Deere,4.3,Industrial Machinery,Moline,5k-10k Employees
162,Varun Beverages,4.0,Beverage,Gurgaon/Gurugram,5k-10k Employees
163,Godrej & Boyce Manufacturing,3.9,Engineering & Construction,Mumbai,10k-50k Employees
164,Persistent Systems,3.8,IT Services & Consulting,Pune,10k-50k Employees
