,BusinessPersonName,DetailsLinks
481,Kirthi Jayakumar,https://en.wikipedia.org//wiki/Kirthi_Jayakumar
485,Anto Joseph,https://en.wikipedia.org//wiki/Anto_Joseph
487,Deep Kalra,https://en.wikipedia.org//wiki/Deep_Kalra
488,Balli Kalyanachakravarthy,https://en.wikipedia.org//wiki/Balli_Kalyanachakravarthy
489,Anshula Kant,https://en.wikipedia.org//wiki/Anshula_Kant
491,Rhea Kapoor,https://en.wikipedia.org//wiki/Rhea_Kapoor
494,Ritu Kapur,https://en.wikipedia.org//wiki/Ritu_Kapur
495,Renu Sud Karnad,https://en.wikipedia.org//wiki/Renu_Sud_Karnad
496,Gauri Khan,https://en.wikipedia.org//wiki/Gauri_Khan
497,Twinkle Khanna,https://en.wikipedia.org//wiki/Twinkle_Khanna
501,Sunita Kohli,https://en.wikipedia.org//wiki/Sunita_Kohli
503,Sonali Kulkarni (businesswoman),https://en.wikipedia.org//wiki/Sonali_Kulkarni_(businesswoman)
504,Kamal Kumbhar,https://en.wikipedia.org//wiki/Kamal_Kumbhar
507,Leelavathi (actress),https://en.wikipedia.org//wiki/Leelavathi_(actress)
508,Upasana Makati,https://en.wikipedia.org//wiki/Upasana_Makati
509,Saloni Malhotra,https://en.wikipedia.org//wiki/Saloni_Malhotra
512,Akhil Mehta,https://en.wikipedia.org//wiki/Akhil_Mehta
514,Sandhya Mendonca,https://en.wikipedia.org//wiki/Sandhya_Mendonca
515,Malini N. Menon,https://en.wikipedia.org//wiki/Malini_N._Menon
517,Irshad Mirza,https://en.wikipedia.org//wiki/Irshad_Mirza
521,Saket Modi,https://en.wikipedia.org//wiki/Saket_Modi
524,Soma Mondal,https://en.wikipedia.org//wiki/Soma_Mondal
528,Akshata Murty,https://en.wikipedia.org//wiki/Akshata_Murty
530,Roshni Nadar,https://en.wikipedia.org//wiki/Roshni_Nadar
531,Akshay Naheta,https://en.wikipedia.org//wiki/Akshay_Naheta
532,Leena Nair,https://en.wikipedia.org//wiki/Leena_Nair
533,Murugesh Nirani,https://en.wikipedia.org//wiki/Murugesh_Nirani
541,Agnimitra Paul,https://en.wikipedia.org//wiki/Agnimitra_Paul
542,Antony Perumbavoor,https://en.wikipedia.org//wiki/Antony_Perumbavoor
543,Hari Kishan Pippal,https://en.wikipedia.org//wiki/Hari_Kishan_Pippal
544,Radhika Piramal,https://en.wikipedia.org//wiki/Radhika_Piramal
547,Adar Poonawalla,https://en.wikipedia.org//wiki/Adar_Poonawalla
549,Priya Prakash,https://en.wikipedia.org//wiki/Priya_Prakash
553,Rishad Premji,https://en.wikipedia.org//wiki/Rishad_Premji
554,Arun Pudur,https://en.wikipedia.org//wiki/Arun_Pudur
556,Sindhuja Rajaraman,https://en.wikipedia.org//wiki/Sindhuja_Rajaraman
559,Arti Rana,https://en.wikipedia.org//wiki/Arti_Rana
561,Kiran Rao,https://en.wikipedia.org//wiki/Kiran_Rao
563,Preetha Reddy,https://en.wikipedia.org//wiki/Preetha_Reddy
565,Nicole Rodrigues,https://en.wikipedia.org//wiki/Nicole_Rodrigues
566,Rahul Roushan,https://en.wikipedia.org//wiki/Rahul_Roushan
570,Deepak Sahni,https://en.wikipedia.org//wiki/Deepak_Sahni
572,Sanjiv Saraf,https://en.wikipedia.org//wiki/Sanjiv_Saraf
574,Devita Saraf,https://en.wikipedia.org//wiki/Devita_Saraf
581,Ameera Shah,https://en.wikipedia.org//wiki/Ameera_Shah
582,Sanjay Shah (Vistex),https://en.wikipedia.org//wiki/Sanjay_Shah_(Vistex)
586,Shweta Shinde,https://en.wikipedia.org//wiki/Shweta_Shinde
587,Rakesh Shukla (animal welfare activist),https://en.wikipedia.org//wiki/Rakesh_Shukla_(animal_welfare_activist)
589,Rhea Mazumdar Singhal,https://en.wikipedia.org//wiki/Rhea_Mazumdar_Singhal
590,Supra Singhal,https://en.wikipedia.org//wiki/Supra_Singhal
594,Sumathi Srinivas,https://en.wikipedia.org//wiki/Sumathi_Srinivas
596,Visakh Subramaniam,https://en.wikipedia.org//wiki/Visakh_Subramaniam
600,Noble Babu Thomas,https://en.wikipedia.org//wiki/Noble_Babu_Thomas
603,Bijiyashanti Tongbram,https://en.wikipedia.org//wiki/Bijiyashanti_Tongbram
604,Lina Trivedi,https://en.wikipedia.org//wiki/Lina_Trivedi
605,Narendra Choudary,https://en.wikipedia.org//wiki/Narendra_Choudary
606,Arun Kumar V.R.,https://en.wikipedia.org//wiki/Arun_Kumar_V.R.
608,Ravi Venkatesan,https://en.wikipedia.org//wiki/Ravi_Venkatesan
610,Burra Madhusudan Yadav,https://en.wikipedia.org//wiki/Burra_Madhusudan_Yadav
611,Ashvini Yardi,https://en.wikipedia.org//wiki/Ashvini_Yardi
615,Hamisha Daryani Ahuja,https://en.wikipedia.org//wiki/Hamisha_Daryani_Ahuja
632,Manyata Dutt,https://en.wikipedia.org//wiki/Manyata_Dutt
672,Susmita Mohanty,https://en.wikipedia.org//wiki/Susmita_Mohanty
